iter	Accuracy	MultiClass
196	0.7462529349	0.903485212
197	0.7472767635	0.9003103969
198	0.7480594017	0.8974734422
199	0.7481578468	0.8964305297
200	0.7484581042	0.8946555345
201	0.7499593914	0.8918971039
202	0.7504663835	0.8890262607
203	0.7515985017	0.8880210077
204	0.7521990165	0.8851721252
205	0.7525681855	0.8826974884
206	0.7527601534	0.881600395
207	0.7538184378	0.8797873999
208	0.7551179126	0.877469303
209	0.7560039181	0.8737322669
210	0.7567324116	0.8717625648
211	0.7573427709	0.8685092225
212	0.7575888836	0.8670946496
213	0.7583075325	0.864660465
214	0.7588046801	0.8623121355
215	0.758725924	0.861085192
216	0.7596660744	0.8587221554
217	0.7602961227	0.8571817196
218	0.7598580422	0.8559059406
219	0.760281356	0.853281957
220	0.7612559621	0.8516225784
221	0.7627424825	0.8493278531
222	0.7637761556	0.8469248244
223	0.7643028367	0.8443731971
224	0.7654792552	0.8411053027
225	0.7659419469	0.8396170861
226	0.7661880596	0.8388230744
227	0.7662274376	0.8368022345
228	0.7672758775	0.8351148902
229	0.7675761349	0.8335049114
230	0.7677582583	0.8325579413
231	0.7693038458	0.8295114552
232	0.7700766395	0.8273974051
233	0.7720455407	0.8238995599
234	0.772207975	0.8220146584
235	0.7727198893	0.8214335687
236	0.7736698842	0.8190125794
237	0.7744426779	0.817964077
238	0.7753631392	0.8153836654
239	0.7758799758	0.8137410007
240	0.776155622	0.8117684144
241	0.776721681	0.8100368424
242	0.7773418849	0.8065452028
243	0.7777258207	0.8049574189
244	0.7779128663	0.8032333873
245	0.7787742606	0.800259317
246	0.7792221856	0.798789802
247	0.7801328024	0.7974772576
248	0.7809843522	0.7959596553
249	0.7816144005	0.7952809528
250	0.7814076659	0.7944341382
251	0.7818112907	0.7932504634
252	0.7823527385	0.791751433
253	0.7831698325	0.7886763694
254	0.7827612855	0.7869128332
255	0.7845874414	0.7855233915
256	0.7849615326	0.7845227157
257	0.7850353664	0.7833384466
258	0.78561127	0.7826163141
259	0.7859558277	0.7808476696
260	0.7872011577	0.7790630814
261	0.7883874207	0.7773666519
262	0.7887270561	0.7759601833
263	0.7893964826	0.7734937332
264	0.7902824881	0.7721658062
265	0.7923695234	0.7701485352
266	0.792108644	0.7684605791
267	0.7924089014	0.7678704327
268	0.7926451695	0.7667728258
269	0.7938708105	0.7647523008
270	0.7945845372	0.7629923538
271	0.7952195079	0.7614209803
272	0.7955345321	0.7595985666
273	0.7964845269	0.7585751777
274	0.7965288272	0.7572026666
275	0.7975575781	0.7551745722
276	0.797400066	0.7532079982
277	0.7980990259	0.7521743535
278	0.7984288168	0.7512240022
279	0.798645396	0.7496491233
280	0.7987093853	0.7484227017
281	0.7991031655	0.7466095518
282	0.7998070477	0.7452455156
283	0.8003337288	0.7438710578
284	0.8014018577	0.7418345079
285	0.8019039275	0.740777184
286	0.803626716	0.7388516743
287	0.80444381	0.7367752264
288	0.8047293007	0.7352573117
289	0.8047982122	0.7346813414
290	0.805708829	0.7336087215
291	0.8055463947	0.732278073
292	0.8057826628	0.7307652502
293	0.806058309	0.7293666263
294	0.8069886148	0.7277846068
295	0.8085440468	0.725757914
296	0.8095580309	0.7241052793
297	0.8096909317	0.722412761
298	0.81012409	0.7207769258
299	0.8099911892	0.7197793181
